hotel_name,overall_rating,total_num_of_reviews,description,popular_facilities,region_shortform,location,service,cleanliness,value,facilities
Hotel San Carlos - Adults Only,7.8,173 reviews,"Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Strategically situated in Downtown Phoenix, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Desert Botanical Garden. Rated with 3 stars, this high-quality property provides guests with access to restaurant and fitness center on-site.","Bicycle rental, Free Wi-Fi in all rooms!, Front desk [24-hour], Check-in/out [express], Fitness center, Swimming Pool, Luggage storage, Cash withdrawal",AZ,9.2,8.5,7.8,7.2,6.6
Found Re Phoenix,8.8,"1,297 reviews","Conveniently situated in the Downtown Phoenix part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. This 4-star property is packed with in-house facilities to improve the quality and joy of your stay.","Valet parking, Pets allowed, Free Wi-Fi in all rooms!, Front desk [24-hour], Fitness center, Swimming pool [outdoor], Check-in/out [express], Luggage storage",AZ,9.0,8.7,9.0,8.2,8.9
Crowne Plaza Phoenix Airport - PHX,8.1,"3,282 reviews","Make your best journey to Phoenix (AZ) with the promised standard of IHG Clean Promise, and enjoy free Wi-Fi in all rooms. Conveniently situated in the Sky Harbor International Airport part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden. Rated with 3.5 stars, this high-quality property provides guests with access to restaurant, fitness center and indoor pool on-site.","Airport transfer, Pets allowed, Car park, Shuttle service, Swimming pool [indoor], Hot tub, Free Wi-Fi in all rooms!, Front desk [24-hour]",AZ,8.4,7.9,8.3,7.7,7.9
Super 8 by Wyndham Phoenix West,7.0,243 reviews,"The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Glendale South part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden. As an added bonus, indoor pool is provided on-site to conveniently serve your needs.","Pets allowed, Car park, Free Wi-Fi in all rooms!, Front desk [24-hour], Swimming pool [indoor], Laundry service, Wi-Fi in public areas, Smoking area",AZ,6.7,6.9,6.9,7.3,6.7
PREMIER INNS TOLLESON,6.8,84 reviews,"Conveniently situated in the West Phoenix part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden.","Pets allowed, Car park, Front desk [24-hour], Cash withdrawal, Wi-Fi in public areas, Smoking area, Vending machine, Daily housekeeping",AZ,7.2,7.4,6.6,7.0,6.4
Arizona Grand Resort & Spa,8.2,538 reviews,"The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Tempe South part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden. Rated with 4 stars, this high-quality property provides guests with access to massage, restaurant and hot tub on-site.","Front desk [24-hour], Bicycle rental, Valet parking, Free Wi-Fi in all rooms!, Golf course [on-site], Spa, Check-in/out [express], Luggage storage",AZ,8.5,8.2,8.4,7.7,8.3
DoubleTree Suites by Hilton Phoenix,8.0,"1,849 reviews","In addition to the standard of Hilton CleanStay, all guests get free Wi-Fi in all rooms and free parking if arriving by car. Conveniently situated in the Sky Harbor International Airport part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden. Rated with 3.5 stars, this high-quality property provides guests with access to restaurant, hot tub and fitness center on-site.","Front desk [24-hour], Airport transfer, Pets allowed, Car park, Fitness center, Swimming pool [outdoor], Shuttle service, Free Wi-Fi in all rooms!",AZ,8.3,7.8,7.7,7.8,7.6
La Quinta Inn by Wyndham Phoenix Sky Harbor Airport,6.6,219 reviews,"The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Sky Harbor International Airport part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden. Restaurant, fitness center and outdoor pool are among the special facilities that will enhance your stay with on-site convenience.","Airport transfer, Pets allowed, Car park, Shuttle service, Fitness center, Swimming pool [outdoor], Free Wi-Fi in all rooms!, Front desk [24-hour]",AZ,7.5,6.8,6.1,6.4,6.1
La Quinta Inn & Suites by Wyndham Phoenix Scottsdale,8.4,"1,179 reviews","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the North Scottsdale part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden. Restaurant, fitness center and indoor pool are among the special facilities that will enhance your stay with on-site convenience.","Pets allowed, Car park, Shuttle service, Free Wi-Fi in all rooms!, Swimming pool [indoor], Fitness center, Front desk [24-hour], Check-in/out [express]",AZ,8.3,8.9,8.7,8.2,8.1
Econo Lodge Phoenix North I-17,4.8,185 reviews,"The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Metro Center part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden. Restaurant and indoor pool are among the special facilities that will enhance your stay with on-site convenience.","Pets allowed, Car park, Free Wi-Fi in all rooms!, Front desk [24-hour], Swimming pool [indoor], Golf course [on-site], Bicycles, Check-in/out [express]",AZ,4.8,5.1,4.3,4.7,4.4
Extended Stay America Select Suites - Phoenix - Peoria - Sun City,6.9,26 reviews,"The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Glendale North part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden.","Pets allowed, Car park, Free Wi-Fi in all rooms!, Check-in/out [express], Safety deposit boxes, Wi-Fi in public areas, Smoking area, Vending machine",AZ,6.7,7.0,7.0,6.7,6.7
Aiden by Best Western Scottsdale North,9.0,23 reviews,"Conveniently situated in the North Scottsdale part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden. Rated with 3 stars, this high-quality property provides guests with access to massage, indoor pool and spa on-site.","Car park, Free Wi-Fi in all rooms!, Front desk [24-hour], Check-in/out [express], Swimming pool [indoor], Fitness center, BBQ facilities, Luggage storage",AZ,9.3,9.3,9.7,9.5,9.1
EZ8 Motel Airporter,7.2,102 reviews,"Conveniently situated in the Downtown Phoenix part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden.","Pets allowed, Car park, Front desk [24-hour], BBQ facilities, Cash withdrawal, Game room, Laundry service, Concierge",AZ,7.5,7.6,6.8,7.3,6.8
La Quinta Inn by Wyndham Phoenix Thomas Road,5.9,185 reviews,"The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the West Phoenix part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden. Restaurant, indoor pool and outdoor pool are among the special facilities that will enhance your stay with on-site convenience.","Pets allowed, Car park, Shuttle service, Free Wi-Fi in all rooms!, Front desk [24-hour], Breakfast [free], Swimming pool [indoor], Restaurants",AZ,5.8,6.5,5.5,5.8,5.5
SureStay Hotel by Best Western Phoenix Airport,7.3,"5,697 reviews","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Sky Harbor International Airport part of Phoenix (AZ), this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Desert Botanical Garden. Restaurant, indoor pool and outdoor pool are among the special facilities that will enhance your stay with on-site convenience.","Front desk [24-hour], Airport transfer, Pets allowed, Car park, Swimming pool [indoor], Shuttle service, Free Wi-Fi in all rooms!, Check-in/out [express]",AZ,6.8,7.1,7.6,7.2,6.6
