hotel_name,overall_rating,total_num_of_reviews,region,region_shortform,location,value,facilities,cleanliness
Hyatt Regency Phoenix,9.0,1611,arizona,AZ,,,9.2,9.4
Kayenta Monument Valley Inn,7.2,1136,arizona,AZ,,,7.0,8.0
Home2 Suites by Hilton Phoenix Downtown,9.4,39,arizona,AZ,,,9.6,9.8
Gila River Resorts & Casinos – Vee Quiva,9.2,1004,arizona,AZ,,,9.4,9.6
Best Western Downtown Phoenix,8.4,1002,arizona,AZ,,,8.4,8.6
"Home2 Suites Lake Havasu City, Az",9.2,136,arizona,AZ,,,9.2,9.4
Baymont by Wyndham Page Lake Powell,9.0,1401,arizona,AZ,,,9.2,9.4
Comfort Suites Phoenix Airport,8.0,1005,arizona,AZ,,,7.6,8.2
"Country Inn & Suites by Radisson, Phoenix Airport, AZ",7.8,1237,arizona,AZ,,,7.6,8.0
Twin Arrows Navajo Casino Resort,9.0,1002,arizona,AZ,,,9.4,9.6
Hotel Elev8 Flagstaff I-40 Exit 198 Butler Ave,8.6,2947,arizona,AZ,,,8.4,8.8
Sleep Inn & Suites Page at Lake Powell,8.8,1002,arizona,AZ,,,9.0,9.2
University Inn Tempe,8.8,416,arizona,AZ,,,8.6,9.2
The Global Ambassador,8.0,6,arizona,AZ,,,6.0,6.0
Little America Flagstaff,9.8,1837,arizona,AZ,,,9.8,9.8
MOXY Phoenix Tempe/ASU Area,8.6,1003,arizona,AZ,,,8.6,8.8
DoubleTree by Hilton Phoenix Chandler,8.0,972,arizona,AZ,,,8.0,8.4
La Quinta Inn by Wyndham Phoenix Sky Harbor Airport,5.8,1252,arizona,AZ,,,5.4,5.6
Hampton Inn & Suites Phoenix Chandler-Fashion Center AZ,9.0,1001,arizona,AZ,,,9.2,9.2
Clarion Inn Page - Lake Powell,7.8,1002,arizona,AZ,,,7.6,8.2
"Kimpton Hotel Palomar Phoenix Cityscape, an IHG Hotel",8.8,1003,arizona,AZ,,,9.0,9.2
Hotel Valley Ho,9.4,1009,arizona,AZ,,,9.4,9.6
Days Inn by Wyndham Prescott,9.2,1004,arizona,AZ,,,9.2,9.6
GreenTree Hotel Phoenix West,7.6,1007,arizona,AZ,,,7.2,7.8
"The Winslow – Winslow, AZ",9.2,35,arizona,AZ,,,9.6,9.8
SureStay Hotel by Best Western Phoenix Airport,7.0,1915,arizona,AZ,,,7.2,7.6
Vīb Hotel by Best Western Phoenix - Tempe,8.6,267,arizona,AZ,,,9.2,9.4
Home2 Suites by Hilton Page Lake Powell,8.8,800,arizona,AZ,,,9.2,9.2
Drury Inn & Suites Phoenix Airport,9.4,1717,arizona,AZ,,,9.2,9.4
Comfort Suites Peoria Sports Complex,8.0,1001,arizona,AZ,,,7.4,8.0
Days Inn & Suites by Wyndham East Flagstaff,8.6,1223,arizona,AZ,,,8.4,8.6
Baymont by Wyndham Flagstaff,7.8,2051,arizona,AZ,,,7.2,7.8
Forest Villas Hotel - Prescott,8.8,1001,arizona,AZ,,,8.4,8.8
Sonder The Monarch,7.2,541,arizona,AZ,,,7.0,7.6
Americana Motor Hotel,9.6,263,arizona,AZ,,,9.6,9.8
Hotel Vendome,9.4,979,arizona,AZ,,,9.0,9.4
La Quinta Inn & Suites By Wyndham Yuma,9.6,42,arizona,AZ,,,9.8,9.8
PVC at The Roundhouse Resort,9.8,814,arizona,AZ,,,9.6,9.8
Catalina Inn,7.4,811,arizona,AZ,,,7.4,8.0
Shep's Miners Inn,9.0,122,arizona,AZ,,,8.2,9.0
La Quinta Inn & Suites by Wyndham Flagstaff East I-40,8.8,1260,arizona,AZ,,,8.8,9.0
Wingate by Wyndham Yuma,8.8,1003,arizona,AZ,,,8.6,9.0
"The Copper Hotel, Surestay Collection By Best Western",7.8,21,arizona,AZ,,,8.0,8.6
Kohl's Ranch Lodge,9.2,1005,arizona,AZ,,,9.2,9.4
Best Western Plus King's Inn & Suites,8.8,1002,arizona,AZ,,,8.8,9.0
Hotel Aspen InnSuites Flagstaff/Grand Canyon,7.8,3134,arizona,AZ,,,7.4,7.8
3 Palms Tucson North Foothills,8.6,2489,arizona,AZ,,,8.4,9.0
