Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Hyatt Regency Phoenix,9.0 out of 10 Wonderful,"1,611 verified reviews",9.4/10,9.2/10,8.6/10,9.2/10,9.0/10
Kayenta Monument Valley Inn,7.2 out of 10 Good,"1,136 verified reviews",8.0/10,7.4/10,6.4/10,7.0/10,7.2/10
Home2 Suites by Hilton Phoenix Downtown,9.4 out of 10 Exceptional,39 verified reviews,9.8/10,9.6/10,9.6/10,9.6/10,9.6/10
Gila River Resorts & Casinos – Vee Quiva,9.2 out of 10 Wonderful,"1,004 verified reviews",9.6/10,9.2/10,9.0/10,9.4/10,9.2/10
Best Western Downtown Phoenix,8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.6/10,8.4/10,8.4/10,8.2/10
"Home2 Suites Lake Havasu City, Az",9.2 out of 10 Wonderful,136 verified reviews,9.4/10,9.2/10,9.6/10,9.2/10,9.4/10
Baymont by Wyndham Page Lake Powell,9.0 out of 10 Wonderful,"1,401 verified reviews",9.4/10,8.8/10,8.8/10,9.2/10,9.0/10
Comfort Suites Phoenix Airport,8.0 out of 10 Very good,"1,005 verified reviews",8.2/10,8.6/10,7.8/10,7.6/10,8.0/10
"Country Inn & Suites by Radisson, Phoenix Airport, AZ",7.8 out of 10 Good,"1,237 verified reviews",8.0/10,8.4/10,7.6/10,7.6/10,7.8/10
Twin Arrows Navajo Casino Resort,9.0 out of 10 Wonderful,"1,002 verified reviews",9.6/10,9.0/10,8.8/10,9.4/10,9.2/10
Hotel Elev8 Flagstaff I-40 Exit 198 Butler Ave,8.6 out of 10 Excellent,"2,947 verified reviews",8.8/10,9.2/10,8.2/10,8.4/10,8.4/10
Sleep Inn & Suites Page at Lake Powell,8.8 out of 10 Excellent,"1,002 verified reviews",9.2/10,8.8/10,8.8/10,9.0/10,8.6/10
University Inn Tempe,8.8 out of 10 Excellent,416 verified reviews,9.2/10,9.4/10,8.2/10,8.6/10,8.6/10
The Global Ambassador,8.0 out of 10 Very good,6 verified reviews,6.0/10,6.0/10,10.0/10,6.0/10,9.0/10
Little America Flagstaff,9.8 out of 10 Exceptional,"1,837 verified reviews",9.8/10,9.6/10,9.6/10,9.8/10,9.4/10
MOXY Phoenix Tempe/ASU Area,8.6 out of 10 Excellent,"1,003 verified reviews",8.8/10,9.0/10,8.4/10,8.6/10,8.6/10
DoubleTree by Hilton Phoenix Chandler,8.0 out of 10 Very good,972 verified reviews,8.4/10,8.8/10,8.2/10,8.0/10,9.2/10
La Quinta Inn by Wyndham Phoenix Sky Harbor Airport,5.8 out of 10,"1,252 verified reviews",5.6/10,6.8/10,5.2/10,5.4/10,6.0/10
Hampton Inn & Suites Phoenix Chandler-Fashion Center AZ,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.2/10,8.8/10,9.2/10,9.0/10
Clarion Inn Page - Lake Powell,7.8 out of 10 Good,"1,002 verified reviews",8.2/10,8.0/10,7.8/10,7.6/10,8.0/10
"Kimpton Hotel Palomar Phoenix Cityscape, an IHG Hotel",8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,9.4/10,8.8/10,9.0/10,9.0/10
Hotel Valley Ho,9.4 out of 10 Exceptional,"1,009 verified reviews",9.6/10,9.6/10,9.4/10,9.4/10,9.2/10
Days Inn by Wyndham Prescott,9.2 out of 10 Wonderful,"1,004 verified reviews",9.6/10,9.4/10,9.0/10,9.2/10,9.0/10
GreenTree Hotel Phoenix West,7.6 out of 10 Good,"1,007 verified reviews",7.8/10,8.0/10,6.8/10,7.2/10,7.4/10
"The Winslow – Winslow, AZ",9.2 out of 10 Wonderful,35 verified reviews,9.8/10,9.4/10,9.0/10,9.6/10,8.8/10
SureStay Hotel by Best Western Phoenix Airport,7.0 out of 10 Good,"1,915 verified reviews",7.6/10,7.4/10,7.0/10,7.2/10,7.0/10
Vīb Hotel by Best Western Phoenix - Tempe,8.6 out of 10 Excellent,267 verified reviews,9.4/10,9.0/10,8.6/10,9.2/10,9.0/10
Home2 Suites by Hilton Page Lake Powell,8.8 out of 10 Excellent,800 verified reviews,9.2/10,8.6/10,9.0/10,9.2/10,8.8/10
Drury Inn & Suites Phoenix Airport,9.4 out of 10 Exceptional,"1,717 verified reviews",9.4/10,9.6/10,9.2/10,9.2/10,9.0/10
Comfort Suites Peoria Sports Complex,8.0 out of 10 Very good,"1,001 verified reviews",8.0/10,8.6/10,7.6/10,7.4/10,7.6/10
Days Inn & Suites by Wyndham East Flagstaff,8.6 out of 10 Excellent,"1,223 verified reviews",8.6/10,9.0/10,8.4/10,8.4/10,8.2/10
Baymont by Wyndham Flagstaff,7.8 out of 10 Good,"2,051 verified reviews",7.8/10,8.2/10,7.4/10,7.2/10,7.6/10
Forest Villas Hotel - Prescott,8.8 out of 10 Excellent,"1,001 verified reviews",8.8/10,9.2/10,8.6/10,8.4/10,8.6/10
Sonder The Monarch,7.2 out of 10 Good,541 verified reviews,7.6/10,7.6/10,7.4/10,7.0/10,7.4/10
Americana Motor Hotel,9.6 out of 10 Exceptional,263 verified reviews,9.8/10,9.4/10,9.2/10,9.6/10,9.4/10
Hotel Vendome,9.4 out of 10 Exceptional,979 verified reviews,9.4/10,9.6/10,8.6/10,9.0/10,9.0/10
