Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
DoubleTree by Hilton Hotel Los Angeles Downtown,7.8 out of 10 Good,"1,439 verified reviews",8.0/10,8.2/10,7.6/10,7.8/10,7.8/10
Hilton Los Angeles Airport,7.4 out of 10 Good,"4,773 verified reviews",7.8/10,8.0/10,7.2/10,7.4/10,7.6/10
citizenM Los Angeles Downtown,9.2 out of 10 Wonderful,"1,656 verified reviews",9.6/10,9.4/10,9.0/10,9.6/10,9.4/10
Los Angeles Airport Marriott,8.4 out of 10 Very good,"2,297 verified reviews",9.0/10,8.8/10,8.6/10,8.8/10,8.6/10
USC Hotel,9.0 out of 10 Wonderful,"1,205 verified reviews",9.2/10,9.2/10,8.8/10,8.8/10,9.0/10
Four Points by Sheraton Los Angeles International Airport,6.0 out of 10 Good,"5,325 verified reviews",6.4/10,6.8/10,6.0/10,5.8/10,6.4/10
Sheraton Gateway Los Angeles Hotel,8.0 out of 10 Very good,"5,634 verified reviews",8.6/10,8.4/10,8.2/10,8.2/10,8.2/10
STILE Downtown Los Angeles by Kasa,8.2 out of 10 Very good,"1,001 verified reviews",8.6/10,8.6/10,8.0/10,8.2/10,8.6/10
Hyatt Regency Los Angeles International Airport,8.6 out of 10 Excellent,"2,920 verified reviews",9.0/10,9.0/10,8.6/10,8.8/10,8.6/10
Hyatt House LA - University Medical Center,9.0 out of 10 Wonderful,"1,231 verified reviews",9.2/10,9.0/10,8.8/10,9.2/10,9.0/10
Hotel Normandie,8.6 out of 10 Excellent,"1,001 verified reviews",8.8/10,9.2/10,8.0/10,8.2/10,8.4/10
Four Seasons Los Angeles at Beverly Hills,9.6 out of 10 Exceptional,695 verified reviews,9.8/10,9.6/10,9.4/10,9.4/10,9.4/10
"Holiday Inn Los Angeles - LAX Airport, an IHG Hotel",7.8 out of 10 Good,"3,214 verified reviews",8.2/10,8.4/10,7.6/10,7.8/10,7.8/10
The Godfrey Hotel Hollywood,8.4 out of 10 Very good,"1,596 verified reviews",9.2/10,8.6/10,8.4/10,9.0/10,8.6/10
Hollywood Hotel,7.0 out of 10 Good,"1,003 verified reviews",7.6/10,7.6/10,6.8/10,7.0/10,7.2/10
"InterContinental Los Angeles Downtown, an IHG Hotel",8.8 out of 10 Excellent,"2,459 verified reviews",9.2/10,9.0/10,8.8/10,9.2/10,9.0/10
Sonesta Los Angeles Airport LAX,8.0 out of 10 Very good,"4,904 verified reviews",8.4/10,8.4/10,7.8/10,8.0/10,8.0/10
H Hotel,8.2 out of 10 Very good,754 verified reviews,8.8/10,9.0/10,8.0/10,8.4/10,8.4/10
The Delphi Hotel,8.0 out of 10 Very good,"1,001 verified reviews",8.4/10,8.4/10,8.2/10,8.0/10,8.2/10
Miyako Hotel Los Angeles,9.2 out of 10 Wonderful,"1,003 verified reviews",9.4/10,9.4/10,8.8/10,9.2/10,9.0/10
AC Hotel by Marriott Beverly Hills,8.6 out of 10 Excellent,555 verified reviews,9.0/10,8.8/10,8.0/10,8.8/10,8.8/10
Beverly Hills Plaza Hotel & Spa,8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,9.0/10,8.4/10,8.6/10,8.6/10
Freehand Los Angeles,8.0 out of 10 Very good,"1,324 verified reviews",8.6/10,8.4/10,8.0/10,8.4/10,8.4/10
Courtyard by Marriott Los Angeles LAX/Century Boulevard,8.6 out of 10 Excellent,"1,488 verified reviews",9.0/10,8.8/10,8.2/10,8.6/10,8.4/10
Best Western Plus LA Mid Town Hotel,8.4 out of 10 Very good,"1,009 verified reviews",8.6/10,8.6/10,8.0/10,8.2/10,8.0/10
The Live Hotel,7.2 out of 10 Good,"1,001 verified reviews",7.6/10,7.8/10,6.6/10,7.0/10,7.2/10
Millennium Biltmore Los Angeles,7.8 out of 10 Good,"3,065 verified reviews",8.2/10,8.2/10,7.2/10,7.6/10,7.8/10
The Westin Los Angeles Airport,8.2 out of 10 Very good,"3,352 verified reviews",8.6/10,8.6/10,8.0/10,8.4/10,8.2/10
The Adler a Hollywood Hills Hotel,8.4 out of 10 Very good,"1,046 verified reviews",8.6/10,8.8/10,7.6/10,8.0/10,8.0/10
La Mirage Inn - Hollywood,8.0 out of 10 Very good,326 verified reviews,8.2/10,8.2/10,7.4/10,7.8/10,7.8/10
The Moment Hotel,7.8 out of 10 Good,"1,002 verified reviews",8.2/10,8.4/10,7.4/10,8.0/10,8.2/10
"Holiday Inn Express West Los Angeles, an IHG Hotel",8.0 out of 10 Very good,"1,000 verified reviews",8.8/10,8.8/10,8.2/10,8.2/10,8.4/10
"H Hotel Los Angeles, Curio Collection by Hilton",8.4 out of 10 Very good,"1,000 verified reviews",9.0/10,8.6/10,8.2/10,8.8/10,8.6/10
