Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Hilton Garden Inn Colorado Springs Downtown,9.0 out of 10 Wonderful,484 verified reviews,9.4/10,9.2/10,8.4/10,9.4/10,9.0/10
"Cheyenne Mountain Resort, A Dolce by Wyndham",8.4 out of 10 Very good,"1,124 verified reviews",8.6/10,8.4/10,8.4/10,8.2/10,8.4/10
"The Mining Exchange, A Wyndham Grand Hotel & Spa",8.8 out of 10 Excellent,"1,001 verified reviews",9.4/10,9.2/10,8.4/10,8.8/10,8.8/10
"The Antlers, A Wyndham Hotel",7.6 out of 10 Good,"1,000 verified reviews",8.2/10,8.0/10,7.0/10,7.2/10,7.8/10
DoubleTree by Hilton Colorado Springs,8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,8.6/10,8.4/10,8.8/10
Home2 Suites by Hilton Colorado Springs South,9.2 out of 10 Wonderful,323 verified reviews,9.4/10,9.2/10,9.0/10,9.4/10,9.0/10
"Staybridge Suites Colorado Springs NE Powers, an IHG Hotel",9.2 out of 10 Wonderful,239 verified reviews,9.4/10,9.4/10,9.4/10,9.4/10,9.4/10
Quality Inn and Suites Garden of the Gods,8.2 out of 10 Very good,"1,000 verified reviews",8.0/10,8.6/10,7.6/10,7.8/10,7.8/10
Holiday Inn Express & Suites Colorado Springs Central,8.8 out of 10 Excellent,722 verified reviews,9.2/10,9.2/10,8.8/10,9.0/10,8.8/10
Hampton Inn & Suites Colorado Springs/I-25 South,9.2 out of 10 Wonderful,825 verified reviews,9.4/10,9.4/10,8.8/10,9.2/10,8.8/10
The Broadmoor,9.6 out of 10 Exceptional,999 verified reviews,9.8/10,9.8/10,9.8/10,9.8/10,9.4/10
Satellite Hotel,7.4 out of 10 Good,"1,000 verified reviews",7.6/10,8.0/10,6.8/10,7.0/10,7.0/10
Best Western Plus Executive Residency Fillmore Inn,9.2 out of 10 Wonderful,"1,000 verified reviews",9.6/10,9.4/10,9.2/10,9.4/10,9.2/10
Courtyard Colorado Springs South,8.6 out of 10 Excellent,565 verified reviews,9.0/10,8.8/10,7.6/10,8.8/10,8.0/10
Quality Inn & Suites Manitou Springs at Pikes Peak,7.8 out of 10 Good,319 verified reviews,8.0/10,8.2/10,6.6/10,7.4/10,7.2/10
Howard Johnson by Wyndham Colorado Springs,6.0 out of 10 Good,929 verified reviews,6.4/10,6.8/10,5.4/10,5.6/10,5.6/10
Old Town GuestHouse B&B,9.2 out of 10 Wonderful,544 verified reviews,9.4/10,9.8/10,9.6/10,9.2/10,9.8/10
Days Inn by Wyndham Manitou Springs,8.6 out of 10 Excellent,"1,002 verified reviews",8.8/10,9.0/10,8.4/10,8.6/10,8.6/10
"Holiday Inn Colorado Springs Airport, an IHG Hotel",8.4 out of 10 Very good,691 verified reviews,8.8/10,8.8/10,7.8/10,8.6/10,8.2/10
Buffalo Lodge Bicycle Resort,8.6 out of 10 Excellent,"1,000 verified reviews",8.6/10,9.2/10,8.6/10,8.0/10,8.8/10
Best Western Executive Inn & Suites,8.0 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,7.8/10,8.0/10,7.6/10
La Quinta Inn & Suites by Wyndham Colorado Springs South AP,6.4 out of 10 Good,"1,000 verified reviews",6.2/10,7.2/10,6.2/10,5.8/10,6.6/10
Fairfield Inn & Suites by Marriott Colorado Springs South,8.6 out of 10 Excellent,878 verified reviews,9.0/10,8.8/10,8.4/10,8.6/10,8.2/10
Nevada Flats,6.8 out of 10 Good,125 verified reviews,7.2/10,8.0/10,5.8/10,6.6/10,6.6/10
True North Motel,7.6 out of 10 Good,15 verified reviews,7.4/10,9.4/10,5.4/10,7.8/10,8.4/10
INNhale Cannabis Friendly B&B - Adults Only,9.8 out of 10 Exceptional,147 verified reviews,9.8/10,9.8/10,9.8/10,9.6/10,9.6/10
TownePlace Suites Colorado Springs Garden of the Gods,8.8 out of 10 Excellent,769 verified reviews,9.0/10,9.0/10,8.6/10,8.8/10,8.6/10
Hampton Inn Colorado Springs I-25 Central,9.6 out of 10 Exceptional,218 verified reviews,9.8/10,9.8/10,9.8/10,9.8/10,9.6/10
Best Western Plus Peak Vista Inn & Suites,9.2 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.4/10,8.8/10,9.2/10,9.0/10
"My Place Hotel - Colorado Springs, CO",9.0 out of 10 Wonderful,862 verified reviews,9.4/10,9.2/10,8.4/10,9.4/10,9.0/10
Quality Inn Airport,8.0 out of 10 Very good,"1,000 verified reviews",8.2/10,8.4/10,8.0/10,7.8/10,8.0/10
Extended Stay America Select Suites - Colorado Springs,5.8 out of 10,485 verified reviews,6.0/10,6.2/10,4.4/10,6.2/10,5.2/10
Hampton Inn Colorado Springs-Airport,8.6 out of 10 Excellent,583 verified reviews,9.0/10,9.0/10,8.2/10,8.6/10,8.8/10
Spurs n Lace Bed & Breakfast Inn,9.0 out of 10 Wonderful,407 verified reviews,9.4/10,9.4/10,8.6/10,9.0/10,8.4/10
Sonesta ES Suites Colorado Springs,8.6 out of 10 Excellent,871 verified reviews,9.0/10,9.0/10,8.0/10,8.4/10,7.8/10
La Quinta Inn by Wyndham Colorado Springs Garden of the Gods,5.8 out of 10,"1,002 verified reviews",5.6/10,7.2/10,5.4/10,5.2/10,5.6/10
Extended Stay America Suites Colorado Springs West,7.2 out of 10 Good,535 verified reviews,7.6/10,7.8/10,6.6/10,7.4/10,7.8/10
Microtel Inn & Suites by Wyndham Fountain North,9.2 out of 10 Wonderful,704 verified reviews,9.4/10,9.4/10,8.6/10,9.4/10,9.0/10
Radisson Hotel Colorado Springs Airport,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.4/10,9.0/10,9.0/10,8.8/10
