Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Hilton Garden Inn Washington DC/U.S. Capitol,7.8 out of 10 Good,"1,732 verified reviews",8.2/10,8.2/10,7.6/10,8.0/10,7.8/10
Club Quarters Hotel in Washington DC,8.6 out of 10 Excellent,"1,005 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.6/10
Washington Plaza Hotel,8.8 out of 10 Excellent,"3,044 verified reviews",9.0/10,9.2/10,8.6/10,8.6/10,8.4/10
"The Morrow Washington Dc, Curio Collection By Hilton",9.2 out of 10 Wonderful,272 verified reviews,9.6/10,9.4/10,9.4/10,9.6/10,9.4/10
"InterContinental Washington D.C. - The Wharf, an IHG Hotel",9.2 out of 10 Wonderful,"1,003 verified reviews",9.8/10,9.4/10,9.0/10,9.6/10,9.4/10
Comfort Inn Downtown DC/Convention Center,8.0 out of 10 Very good,"1,004 verified reviews",8.0/10,8.4/10,7.4/10,7.6/10,7.6/10
"Holiday Inn Washington-Central/White House, an IHG Hotel",8.6 out of 10 Excellent,"1,005 verified reviews",8.8/10,8.8/10,8.2/10,8.4/10,8.0/10
Kellogg Conference Hotel at Gallaudet University,8.0 out of 10 Very good,"1,000 verified reviews",8.6/10,8.4/10,7.4/10,8.0/10,8.2/10
citizenM Washington DC NoMa,9.0 out of 10 Wonderful,859 verified reviews,9.6/10,9.2/10,9.0/10,9.4/10,9.4/10
Cambria Hotel Washington D.C. Navy Yard Riverfront,8.4 out of 10 Very good,"1,065 verified reviews",9.0/10,8.6/10,8.2/10,9.0/10,8.8/10
"West End Washington DC, Tapestry Collection by Hilton",8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.0/10,8.6/10,8.2/10
Ivy City Hotel,6.2 out of 10 Good,"1,004 verified reviews",6.4/10,7.2/10,6.0/10,6.2/10,6.0/10
Omni Shoreham Hotel,8.6 out of 10 Excellent,"1,186 verified reviews",9.0/10,8.8/10,8.6/10,8.6/10,8.6/10
citizenM Washington DC Capitol,9.0 out of 10 Wonderful,"1,651 verified reviews",9.6/10,9.2/10,8.8/10,9.4/10,9.4/10
Hilton Garden Inn Washington DC/Georgetown Area,8.4 out of 10 Very good,"1,002 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.2/10
The Royal Sonesta Washington DC Capitol Hill,9.2 out of 10 Wonderful,127 verified reviews,9.8/10,9.4/10,9.0/10,9.6/10,9.2/10
HighRoad Washington DC,9.4 out of 10 Exceptional,385 verified reviews,9.4/10,9.4/10,9.0/10,9.4/10,9.4/10
Hampton Inn & Suites Washington DC-Navy Yard,8.6 out of 10 Excellent,"1,003 verified reviews",9.0/10,8.8/10,8.2/10,8.8/10,8.8/10
Embassy Suites by Hilton Washington DC Chevy Chase Pavilion,8.4 out of 10 Very good,"1,103 verified reviews",8.6/10,8.6/10,8.0/10,8.4/10,8.4/10
"Courtyard by Marriott Washington, DC Dupont Circle",8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,8.8/10,8.2/10,8.2/10,8.6/10
Windsor Inn Hotel,6.8 out of 10 Good,"1,000 verified reviews",7.4/10,7.6/10,6.2/10,6.2/10,7.0/10
"The Jefferson, Washington, DC",9.8 out of 10 Exceptional,779 verified reviews,10.0/10,9.8/10,9.6/10,9.8/10,9.4/10
Motto by Hilton Washington DC City Center,9.0 out of 10 Wonderful,"1,471 verified reviews",9.4/10,9.4/10,8.4/10,9.2/10,9.0/10
Generator Hotel Washington DC,7.8 out of 10 Good,912 verified reviews,8.6/10,8.2/10,7.6/10,8.2/10,8.2/10
"Georgetown Residences by LuxUrban, Trademark Coll by Wyndham",7.0 out of 10 Good,93 verified reviews,7.6/10,6.8/10,6.8/10,7.6/10,7.6/10
Salamander Washington DC,9.2 out of 10 Wonderful,"1,004 verified reviews",9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
The Watergate Hotel,8.6 out of 10 Excellent,"1,002 verified reviews",9.0/10,8.6/10,8.4/10,8.8/10,8.2/10
Hampton Inn Washington-Downtown-Convention Center,8.8 out of 10 Excellent,"1,340 verified reviews",9.0/10,8.8/10,8.4/10,8.8/10,8.4/10
The LINE Hotel DC,9.0 out of 10 Wonderful,900 verified reviews,9.4/10,9.0/10,8.8/10,9.2/10,8.8/10
Hotel Washington,9.0 out of 10 Wonderful,"1,513 verified reviews",9.4/10,9.0/10,8.8/10,9.2/10,8.8/10
"Holiday Inn Washington Capitol - Natl Mall, an IHG Hotel",8.4 out of 10 Very good,"3,583 verified reviews",8.8/10,8.6/10,7.8/10,8.4/10,8.2/10
Morrison Clark Historic Inn,9.4 out of 10 Exceptional,"1,300 verified reviews",9.6/10,9.4/10,8.6/10,9.4/10,9.0/10
Homewood Suites by Hilton Washington DC NoMa Union Station,8.6 out of 10 Excellent,801 verified reviews,9.0/10,9.0/10,8.0/10,9.0/10,8.4/10
Riggs Washington DC,9.4 out of 10 Exceptional,"1,229 verified reviews",9.8/10,9.6/10,9.2/10,9.6/10,9.2/10
