Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Best Western Prairie Inn & Conference Center,7.8 out of 10 Good,548 verified reviews,8.2/10,8.2/10,7.6/10,7.6/10,7.6/10
Best Western Grant Park Hotel,7.8 out of 10 Good,"2,537 verified reviews",7.8/10,8.4/10,7.0/10,7.2/10,7.6/10
"Club Quarters Hotel, Central Loop, Chicago",8.6 out of 10 Excellent,"2,893 verified reviews",8.8/10,9.0/10,8.0/10,8.4/10,8.4/10
Central Loop Hotel,8.6 out of 10 Excellent,"1,545 verified reviews",8.6/10,9.0/10,8.0/10,8.2/10,8.4/10
Tru by Hilton Naperville Chicago,9.0 out of 10 Wonderful,262 verified reviews,9.4/10,9.4/10,9.0/10,9.4/10,9.4/10
Congress Plaza Hotel,7.6 out of 10 Good,"6,387 verified reviews",7.8/10,8.0/10,7.0/10,6.8/10,7.2/10
Ohio House Motel,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.4/10,8.4/10,8.8/10,8.8/10
"Club Quarters Hotel Wacker at Michigan, Chicago",8.6 out of 10 Excellent,"1,725 verified reviews",8.8/10,9.0/10,7.8/10,8.4/10,8.4/10
River Hotel,8.8 out of 10 Excellent,"2,678 verified reviews",9.0/10,9.2/10,8.2/10,8.6/10,8.8/10
Holiday Inn Chicago O'Hare - Rosemont,8.4 out of 10 Very good,759 verified reviews,9.2/10,8.6/10,9.0/10,9.0/10,8.8/10
La Quinta Inn & Suites by Wyndham Chicago Downtown,8.6 out of 10 Excellent,"2,313 verified reviews",8.8/10,8.8/10,8.0/10,8.6/10,8.4/10
Hampton Inn Chicago Orland Park,9.2 out of 10 Wonderful,108 verified reviews,9.4/10,9.6/10,9.4/10,9.6/10,9.2/10
The Peninsula Chicago,9.8 out of 10 Exceptional,"1,003 verified reviews",10.0/10,9.8/10,9.8/10,10.0/10,9.6/10
Comfort Inn & Suites near Route 66,8.4 out of 10 Very good,246 verified reviews,8.4/10,9.0/10,8.4/10,8.2/10,8.2/10
Hotel Felix River North/Magnificent Mile,7.8 out of 10 Good,"1,004 verified reviews",8.4/10,8.2/10,7.4/10,8.0/10,8.0/10
Trump International Hotel & Tower Chicago,9.2 out of 10 Wonderful,"1,120 verified reviews",9.6/10,9.6/10,9.4/10,9.6/10,9.4/10
Travelodge by Wyndham Downtown Chicago,6.4 out of 10 Good,"1,573 verified reviews",6.6/10,7.2/10,5.6/10,5.8/10,6.2/10
Home2 Suites by Hilton Loves Park Rockford,9.6 out of 10 Exceptional,335 verified reviews,9.8/10,9.8/10,9.6/10,9.8/10,9.6/10
Comfort Inn & Suites Mundelein-Vernon Hills,7.6 out of 10 Good,900 verified reviews,7.8/10,8.0/10,7.0/10,7.4/10,6.6/10
Freehand Chicago,7.8 out of 10 Good,"1,010 verified reviews",8.2/10,8.2/10,7.6/10,7.8/10,7.8/10
"Ambassador Chicago, part of JdV by Hyatt",8.8 out of 10 Excellent,"1,004 verified reviews",9.2/10,9.2/10,8.2/10,8.6/10,8.4/10
The Sono Chicago,10 out of 10 Exceptional,402 verified reviews,10.0/10,10.0/10,9.8/10,10.0/10,9.8/10
Hilton Chicago/Magnificent Mile Suites,8.6 out of 10 Excellent,"1,393 verified reviews",9.0/10,9.0/10,8.2/10,8.6/10,8.6/10
The Drake,8.2 out of 10 Very good,"1,003 verified reviews",8.6/10,8.8/10,7.8/10,8.0/10,8.2/10
Ramada by Wyndham Effingham,7.8 out of 10 Good,698 verified reviews,7.8/10,8.6/10,7.2/10,7.4/10,7.6/10
"Sable at Navy Pier Chicago, Curio Collection by Hilton",9.2 out of 10 Wonderful,"1,861 verified reviews",9.6/10,9.4/10,8.8/10,9.6/10,9.4/10
The Buckingham Hotel,8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,8.8/10,8.4/10,8.8/10,8.8/10
DoubleTree by Hilton Chicago - Magnificent Mile,8.6 out of 10 Excellent,"2,112 verified reviews",8.8/10,8.8/10,8.4/10,8.8/10,8.6/10
"Bluegreen Vacations Hotel Blake, Ascend Resort Collection",9.6 out of 10 Exceptional,"1,006 verified reviews",9.8/10,9.6/10,9.0/10,9.6/10,9.2/10
Courtyard by Marriott Chicago Magnificent Mile,8.6 out of 10 Excellent,"1,100 verified reviews",9.0/10,8.8/10,8.2/10,8.8/10,8.6/10
"Thompson Chicago, by Hyatt",9.0 out of 10 Wonderful,"1,004 verified reviews",9.4/10,9.2/10,8.6/10,9.0/10,9.0/10
Canopy by Hilton Chicago Central Loop,9.4 out of 10 Exceptional,693 verified reviews,9.8/10,9.4/10,9.2/10,9.6/10,9.4/10
The Talbott Hotel,8.8 out of 10 Excellent,"1,002 verified reviews",9.2/10,9.0/10,8.0/10,8.6/10,8.6/10
