Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Canopy by Hilton Baltimore Harbor Point,9.0 out of 10 Wonderful,685 verified reviews,9.4/10,9.2/10,9.0/10,9.4/10,9.2/10
Hilton Garden Inn Baltimore Inner Harbor,8.2 out of 10 Very good,"1,002 verified reviews",8.4/10,8.4/10,7.4/10,8.2/10,7.8/10
"Tru By Hilton Baltimore Harbor East, MD",9.0 out of 10 Wonderful,"1,049 verified reviews",9.4/10,9.0/10,8.8/10,9.2/10,9.2/10
Renaissance Baltimore Harborplace Hotel,8.4 out of 10 Very good,"2,046 verified reviews",9.0/10,8.8/10,8.2/10,8.8/10,8.6/10
"Admiral Fell Inn Baltimore Harbor, Ascend Hotel Collection",8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,9.0/10,7.6/10,7.8/10,8.0/10
The Ivy Hotel,10 out of 10 Exceptional,135 verified reviews,10.0/10,10.0/10,10.0/10,10.0/10,10.0/10
"Pier 5 Hotel Baltimore, Curio Collection by Hilton",7.6 out of 10 Good,"1,000 verified reviews",8.0/10,8.4/10,6.2/10,7.6/10,7.2/10
Hampton Inn Baltimore-Downtown-Convention Center,8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.8/10
Homewood Suites by Hilton Baltimore Inner Harbor,8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,8.8/10,8.0/10,8.2/10,7.8/10
"Staybridge Suites Baltimore - Inner Harbor, an IHG Hotel",9.0 out of 10 Wonderful,831 verified reviews,9.4/10,9.2/10,9.0/10,9.2/10,9.0/10
Hilton Baltimore Inner Harbor,8.2 out of 10 Very good,"1,001 verified reviews",8.8/10,8.2/10,8.2/10,8.8/10,8.8/10
Hampton Inn Baltimore Bayview Campus,9.2 out of 10 Wonderful,"1,002 verified reviews",9.4/10,9.2/10,9.0/10,9.4/10,8.8/10
1840s Carrollton Inn,9.6 out of 10 Exceptional,821 verified reviews,9.8/10,9.8/10,9.2/10,9.6/10,9.2/10
Springhill Suites Marriott Baltimore Downtown/Inner Harbor,8.2 out of 10 Very good,"1,000 verified reviews",8.6/10,8.6/10,7.8/10,8.2/10,8.2/10
Comfort Inn & Suites Baltimore Inner Harbor,4.8 out of 10,"1,079 verified reviews",5.2/10,6.4/10,4.6/10,4.4/10,5.4/10
