Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Embassy Suites by Hilton Boston Marlborough,9.2 out of 10 Wonderful,644 verified reviews,9.4/10,9.4/10,9.2/10,9.4/10,9.2/10
Hampton Inn Boston - Logan Airport,8.0 out of 10 Very good,"4,294 verified reviews",8.6/10,8.2/10,7.8/10,8.0/10,8.0/10
Omni Boston Hotel at the Seaport,9.2 out of 10 Wonderful,"1,855 verified reviews",9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
"Club Quarters Hotel Faneuil Hall, Boston",8.8 out of 10 Excellent,"2,234 verified reviews",8.8/10,9.2/10,8.2/10,8.4/10,8.6/10
citizenM Boston North Station,9.2 out of 10 Wonderful,"2,189 verified reviews",9.6/10,9.2/10,8.8/10,9.4/10,9.4/10
Hampton Inn Boston Logan Airport Chelsea,9.0 out of 10 Wonderful,"1,183 verified reviews",9.4/10,9.0/10,8.8/10,9.2/10,8.8/10
Hampton Inn & Suites Boston/Waltham,9.2 out of 10 Wonderful,"1,000 verified reviews",9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
Wyndham Boston Beacon Hill,7.8 out of 10 Good,"1,616 verified reviews",8.0/10,8.4/10,7.2/10,7.4/10,7.8/10
Fairfield Inn & Suites by Marriott Framingham,9.4 out of 10 Exceptional,33 verified reviews,9.6/10,9.8/10,9.2/10,9.8/10,9.6/10
Onyx Boston Downtown,8.2 out of 10 Very good,"1,002 verified reviews",8.8/10,8.6/10,7.6/10,8.4/10,8.2/10
Seaport Hotel Boston,9.6 out of 10 Exceptional,"2,044 verified reviews",9.8/10,9.6/10,9.4/10,9.6/10,9.4/10
Omni Parker House,8.8 out of 10 Excellent,"2,482 verified reviews",9.0/10,9.4/10,8.2/10,8.4/10,8.4/10
The Dagny Boston,9.2 out of 10 Wonderful,"3,091 verified reviews",9.6/10,9.4/10,9.0/10,9.2/10,9.0/10
Copley House,8.4 out of 10 Very good,"1,085 verified reviews",8.8/10,8.6/10,7.8/10,8.0/10,8.0/10
Four Points by Sheraton Boston Newton,8.2 out of 10 Very good,"1,851 verified reviews",8.8/10,8.6/10,8.0/10,8.2/10,8.2/10
Homewood Suites by Hilton Needham Boston,9.2 out of 10 Wonderful,"1,000 verified reviews",9.2/10,9.0/10,8.8/10,9.2/10,8.8/10
"Sheraton Boston, a Marriott Hotel",8.4 out of 10 Very good,"1,433 verified reviews",8.8/10,8.6/10,8.2/10,8.4/10,8.2/10
Hilton Boston Logan Airport,8.8 out of 10 Excellent,"2,668 verified reviews",9.2/10,9.0/10,8.6/10,9.0/10,8.6/10
HYATT house Boston/Waltham,8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,8.4/10,8.4/10,8.6/10
Beacon Hill Hotel,9.0 out of 10 Wonderful,141 verified reviews,9.4/10,9.2/10,8.0/10,8.8/10,9.8/10
Hilton Garden Inn Foxborough Patriot Place,9.2 out of 10 Wonderful,"1,000 verified reviews",9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
Hampton Inn Salem Boston,9.2 out of 10 Wonderful,943 verified reviews,9.6/10,9.4/10,9.2/10,9.6/10,9.2/10
"Fairmont Copley Plaza, Boston",8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.0/10,8.4/10,8.6/10,8.4/10
Aloft Lexington,8.4 out of 10 Very good,"1,002 verified reviews",8.8/10,8.6/10,7.8/10,8.6/10,8.0/10
Courtyard by Marriott Boston Downtown,8.6 out of 10 Excellent,"1,000 verified reviews",9.2/10,9.2/10,8.4/10,8.8/10,8.6/10
Boston Marriott Copley Place,9.0 out of 10 Wonderful,"1,373 verified reviews",9.4/10,9.0/10,8.6/10,9.0/10,8.8/10
Hampton Inn Boston Seaport District,9.2 out of 10 Wonderful,"1,234 verified reviews",9.6/10,9.2/10,9.2/10,9.6/10,9.0/10
The Whitney Hotel,9.6 out of 10 Exceptional,269 verified reviews,10.0/10,9.8/10,9.2/10,9.8/10,9.6/10
Newbury Guest House,9.2 out of 10 Wonderful,"1,001 verified reviews",9.6/10,9.4/10,8.8/10,9.0/10,9.2/10
Hilton Garden Inn Boston Logan Airport,9.2 out of 10 Wonderful,"1,561 verified reviews",9.6/10,9.4/10,9.2/10,9.4/10,9.0/10
Hotel AKA Boston Common,8.4 out of 10 Very good,"1,002 verified reviews",9.0/10,8.8/10,7.8/10,8.6/10,8.6/10
The Inn At Woburn - Boston,8.2 out of 10 Very good,"1,002 verified reviews",8.6/10,8.4/10,7.8/10,8.2/10,7.8/10
YOTEL Boston,8.2 out of 10 Very good,"1,592 verified reviews",9.2/10,8.6/10,8.0/10,8.8/10,9.0/10
"The Westin Copley Place, Boston, a Marriott Hotel",9.0 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.2/10,8.8/10,9.2/10,9.0/10
Aloft Framingham,9.4 out of 10 Exceptional,201 verified reviews,9.6/10,9.4/10,8.8/10,9.6/10,9.2/10
Hyatt Regency Boston,9.0 out of 10 Wonderful,"1,371 verified reviews",9.2/10,9.2/10,8.6/10,9.0/10,8.8/10
The Westin Boston Seaport District,8.8 out of 10 Excellent,"1,363 verified reviews",9.2/10,9.0/10,8.6/10,9.2/10,8.8/10
Hampton Inn & Suites Foxborough/Mansfield,9.2 out of 10 Wonderful,783 verified reviews,9.6/10,9.6/10,9.0/10,9.4/10,9.2/10
Hampton Inn Raynham-Taunton,9.0 out of 10 Wonderful,864 verified reviews,9.4/10,9.2/10,8.6/10,9.2/10,8.6/10
enVision Hotel & Conference Center Mansfield-Foxboro,7.2 out of 10 Good,"1,000 verified reviews",7.2/10,8.0/10,6.8/10,6.8/10,6.8/10
"The Langham, Boston",9.6 out of 10 Exceptional,"1,001 verified reviews",9.8/10,9.6/10,9.2/10,9.4/10,9.6/10
