Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Hilton Garden Inn New York/Midtown Park Ave,8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.8/10,8.0/10,8.2/10,8.0/10
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,8.8 out of 10 Excellent,"1,328 verified reviews",9.0/10,9.2/10,8.2/10,8.8/10,8.4/10
Archer Hotel New York,9.2 out of 10 Wonderful,"1,001 verified reviews",9.6/10,9.4/10,8.6/10,9.4/10,8.8/10
Hilton Garden Inn New York Times Square South,9.0 out of 10 Wonderful,"2,608 verified reviews",9.2/10,9.2/10,8.4/10,9.0/10,8.8/10
Doubletree by Hilton New York Times Square South,8.6 out of 10 Excellent,"3,337 verified reviews",9.0/10,9.0/10,8.2/10,8.8/10,8.6/10
Hilton Garden Inn New York Times Square North,8.6 out of 10 Excellent,"1,777 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.4/10
"Club Quarters, Times Square - Midtown",8.6 out of 10 Excellent,"2,572 verified reviews",8.8/10,9.2/10,8.2/10,8.4/10,8.6/10
"Club Quarters Hotel, Grand Central",8.6 out of 10 Excellent,"1,894 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.6/10
Hilton Garden Inn New York/West 35th Street,9.0 out of 10 Wonderful,"1,773 verified reviews",9.2/10,9.2/10,8.4/10,8.8/10,8.6/10
Park Terrace Hotel,9.4 out of 10 Exceptional,"1,295 verified reviews",9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
Four Points By Sheraton Manhattan Midtown West,8.8 out of 10 Excellent,"1,000 verified reviews",9.0/10,9.0/10,8.4/10,9.0/10,8.8/10
Broadway Plaza Hotel,9.2 out of 10 Wonderful,"1,527 verified reviews",9.4/10,9.6/10,8.4/10,9.0/10,8.8/10
Hotel 32 32,8.0 out of 10 Very good,"1,572 verified reviews",8.4/10,8.4/10,8.2/10,8.0/10,8.2/10
Artezen Hotel,9.4 out of 10 Exceptional,"1,494 verified reviews",9.8/10,9.6/10,9.0/10,9.6/10,9.2/10
Radio City Apartments,8.8 out of 10 Excellent,"3,390 verified reviews",9.0/10,8.6/10,8.4/10,8.2/10,8.4/10
"The Bernic Hotel New York City, Tapestry Collection by Hilton",8.8 out of 10 Excellent,"1,000 verified reviews",9.2/10,9.2/10,8.2/10,9.0/10,8.6/10
Embassy Suites by Hilton New York Manhattan Times Square,8.2 out of 10 Very good,"1,569 verified reviews",8.4/10,8.4/10,8.4/10,8.2/10,8.2/10
Virgin Hotels New York City,8.8 out of 10 Excellent,"1,001 verified reviews",9.4/10,9.0/10,8.8/10,9.2/10,9.0/10
Hotel St. James,8.6 out of 10 Excellent,"3,678 verified reviews",8.8/10,9.2/10,7.2/10,7.8/10,7.8/10
Hilton New York Times Square,8.2 out of 10 Very good,"1,204 verified reviews",8.8/10,8.4/10,8.0/10,8.4/10,8.2/10
Empire Hotel,7.6 out of 10 Good,"2,992 verified reviews",7.8/10,8.2/10,7.0/10,7.0/10,7.2/10
Sheraton Tribeca New York Hotel,8.4 out of 10 Very good,"1,005 verified reviews",8.6/10,8.6/10,8.0/10,8.2/10,8.0/10
Park Central Hotel New York,7.8 out of 10 Good,"2,790 verified reviews",8.4/10,8.2/10,7.2/10,7.4/10,7.8/10
"Tuscany by LuxUrban, Trademark Collection by Wyndham",8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,8.8/10,7.2/10,8.6/10,8.0/10
World Center Hotel,8.6 out of 10 Excellent,"1,945 verified reviews",8.8/10,8.8/10,8.4/10,8.6/10,8.8/10
Millennium Hilton New York One UN Plaza,8.0 out of 10 Very good,"1,396 verified reviews",8.4/10,8.2/10,7.6/10,8.2/10,8.2/10
Paramount Times Square,7.0 out of 10 Good,"1,936 verified reviews",7.4/10,7.6/10,6.4/10,6.8/10,7.0/10
Hyatt Place New York/Chelsea,8.2 out of 10 Very good,"1,009 verified reviews",9.0/10,8.4/10,8.0/10,8.4/10,8.2/10
"Club Quarters Hotel, World Trade Center",8.6 out of 10 Excellent,"1,403 verified reviews",8.8/10,8.8/10,8.2/10,8.8/10,8.8/10
"Hotel 27 by LuxUrban, a Baymont by Wyndham",7.6 out of 10 Good,368 verified reviews,8.2/10,8.2/10,5.6/10,7.6/10,6.8/10
Hilton New York Fashion District,8.0 out of 10 Very good,"1,004 verified reviews",8.4/10,8.4/10,7.2/10,8.0/10,7.8/10
Hampton Inn Manhattan/Times Square South,6.8 out of 10 Good,"1,318 verified reviews",6.8/10,7.6/10,6.6/10,6.6/10,6.8/10
Hampton Inn Manhattan/Times Square Central,8.8 out of 10 Excellent,"1,683 verified reviews",8.8/10,9.0/10,8.4/10,8.8/10,8.6/10
"Even Hotel New York - Times Square South ,an IHG Hotel",9.2 out of 10 Wonderful,"1,003 verified reviews",9.4/10,9.4/10,9.0/10,9.4/10,9.2/10
Hilton Garden Inn New York/Times Square Central,8.2 out of 10 Very good,"1,692 verified reviews",8.6/10,8.4/10,8.2/10,8.2/10,8.2/10
Hilton Garden Inn New York/Central Park South-Midtown West,7.6 out of 10 Good,"1,436 verified reviews",7.8/10,7.6/10,7.2/10,7.4/10,7.6/10
"The Draper New York, Tapestry Collection by Hilton",8.8 out of 10 Excellent,689 verified reviews,9.2/10,9.0/10,7.8/10,9.0/10,8.6/10
The Flat NYC,8.8 out of 10 Excellent,187 verified reviews,9.4/10,9.4/10,8.6/10,8.8/10,8.6/10
Wingate by Wyndham New York Midtown South/5th Ave,8.6 out of 10 Excellent,"1,052 verified reviews",9.2/10,9.0/10,8.0/10,8.8/10,8.4/10
Four Points By Sheraton New York Downtown,7.8 out of 10 Good,"1,460 verified reviews",8.2/10,8.4/10,7.2/10,7.8/10,7.8/10
Courtyard by Marriott New York Manhattan/Times Square,8.6 out of 10 Excellent,"1,002 verified reviews",8.8/10,9.0/10,8.2/10,8.4/10,8.4/10
"The Washington by LuxUrban, Trademark Collection by Wyndham",8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.6/10,7.6/10,8.2/10,8.2/10
DoubleTree by Hilton Hotel New York City - Chelsea,7.8 out of 10 Good,"1,001 verified reviews",8.2/10,8.2/10,7.4/10,7.4/10,7.6/10
The Hotel Chelsea,9.8 out of 10 Exceptional,566 verified reviews,9.8/10,9.8/10,9.6/10,9.8/10,9.2/10
Motto by Hilton New York City Chelsea,9.0 out of 10 Wonderful,874 verified reviews,9.6/10,9.2/10,8.8/10,9.4/10,9.0/10
