Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Best Western Plus University Inn,7.8 out of 10 Good,836 verified reviews,8.0/10,8.6/10,7.8/10,7.4/10,7.6/10
Sonesta Select Raleigh Durham Airport Morrisville,8.6 out of 10 Excellent,"1,006 verified reviews",8.8/10,8.8/10,8.0/10,8.6/10,8.6/10
Wyndham Garden Greensboro,7.8 out of 10 Good,"1,004 verified reviews",7.8/10,8.2/10,7.4/10,7.4/10,7.6/10
The Shaffner Inn,10 out of 10 Exceptional,29 verified reviews,10.0/10,9.8/10,9.4/10,9.8/10,9.6/10
Hilton Garden Inn Raleigh-Durham Airport,7.8 out of 10 Good,"1,007 verified reviews",8.2/10,8.4/10,7.6/10,7.8/10,7.8/10
"Country Inn & Suites by Radisson, Asheville West near Biltmore",8.8 out of 10 Excellent,"1,002 verified reviews",8.8/10,9.2/10,8.6/10,8.6/10,8.4/10
Sea Ranch Resort,8.6 out of 10 Excellent,"1,001 verified reviews",8.2/10,8.8/10,8.2/10,8.0/10,8.0/10
Comfort Inn Biltmore West,8.8 out of 10 Excellent,944 verified reviews,9.0/10,9.0/10,8.4/10,8.6/10,8.6/10
Wingate by Wyndham Fletcher at Asheville Airport,8.6 out of 10 Excellent,"1,006 verified reviews",8.8/10,8.8/10,8.4/10,8.6/10,8.6/10
John Yancey Oceanfront Inn,8.8 out of 10 Excellent,"1,789 verified reviews",9.0/10,9.2/10,8.2/10,8.6/10,8.6/10
Clarion Inn Biltmore Village,8.4 out of 10 Very good,"1,500 verified reviews",9.0/10,8.8/10,7.8/10,8.4/10,8.4/10
Home2 Suites by Hilton Charlotte Mooresville,8.6 out of 10 Excellent,387 verified reviews,8.8/10,9.0/10,8.8/10,9.0/10,9.0/10
Baymont by Wyndham Asheville/Biltmore Village,8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,9.0/10,8.6/10,8.8/10,8.8/10
Sleep Inn & Suites Smithfield near I-95,9.2 out of 10 Wonderful,"1,005 verified reviews",9.4/10,9.4/10,9.0/10,9.2/10,9.2/10
Great Smokies Inn Cherokee,9.2 out of 10 Wonderful,"1,398 verified reviews",9.4/10,9.4/10,8.4/10,9.0/10,8.8/10
The Lodge at Flat Rock,9.8 out of 10 Exceptional,"1,272 verified reviews",9.8/10,9.8/10,9.4/10,9.6/10,9.4/10
Hilton Raleigh North Hills,8.0 out of 10 Very good,"1,006 verified reviews",8.2/10,8.4/10,7.8/10,8.0/10,8.0/10
Days Inn by Wyndham Fayetteville-South/I-95 Exit 49,8.2 out of 10 Very good,"1,004 verified reviews",8.2/10,8.6/10,7.4/10,7.8/10,7.8/10
Clarion Pointe New Bern,9.0 out of 10 Wonderful,273 verified reviews,9.2/10,9.2/10,8.2/10,9.0/10,8.6/10
CedarWood Inn,9.4 out of 10 Exceptional,131 verified reviews,9.6/10,9.4/10,8.6/10,9.2/10,9.2/10
Ramada by Wyndham Statesville,8.4 out of 10 Very good,"1,247 verified reviews",8.6/10,8.8/10,7.8/10,8.2/10,8.2/10
Wingate by Wyndham Charlotte Airport I-85/I-485,8.6 out of 10 Excellent,"2,143 verified reviews",8.8/10,9.2/10,8.0/10,8.2/10,8.4/10
Home2 Suites By Hilton Fayetteville North,9.6 out of 10 Exceptional,94 verified reviews,9.8/10,9.8/10,9.8/10,10.0/10,9.8/10
La Quinta Inn & Suites by Wyndham Selma/Smithfield I-95,8.0 out of 10 Very good,794 verified reviews,8.6/10,8.6/10,7.6/10,8.2/10,8.0/10
Shutters on the Banks,9.0 out of 10 Wonderful,"1,281 verified reviews",9.0/10,9.4/10,9.0/10,8.8/10,8.8/10
Stonebrook Lodge Cherokee,9.0 out of 10 Wonderful,117 verified reviews,9.0/10,9.2/10,8.2/10,8.8/10,8.8/10
Travelodge by Wyndham Outer Banks/Kill Devil Hills,8.0 out of 10 Very good,"1,001 verified reviews",8.0/10,8.6/10,7.4/10,7.6/10,8.0/10
Super 8 by Wyndham Cherokee,8.6 out of 10 Excellent,"1,002 verified reviews",8.8/10,9.0/10,7.6/10,8.4/10,8.4/10
"Village Inn Clemmons/Winston Salem, Trademark by Wyndham",8.2 out of 10 Very good,790 verified reviews,8.6/10,8.6/10,8.2/10,8.0/10,8.4/10
Hampton Inn & Suites Durham University Medical Center,9.8 out of 10 Exceptional,22 verified reviews,10.0/10,9.6/10,9.4/10,9.8/10,9.2/10
Springhill Suites by Marriott Wilmington Mayfaire,9.4 out of 10 Exceptional,"1,001 verified reviews",9.6/10,9.4/10,9.0/10,9.6/10,9.2/10
Hampton Inn & Suites Asheville Airport,9.4 out of 10 Exceptional,"1,002 verified reviews",9.6/10,9.4/10,9.2/10,9.4/10,9.4/10
Hotel Alice,8.8 out of 10 Excellent,"1,003 verified reviews",8.8/10,9.0/10,8.4/10,8.6/10,8.6/10
Microtel Inn & Suites by Wyndham Greenville/University Medic,7.2 out of 10 Good,"1,003 verified reviews",7.4/10,8.0/10,6.8/10,7.2/10,7.4/10
Heart of Manteo Motor Lodge,7.8 out of 10 Good,620 verified reviews,8.2/10,8.0/10,7.2/10,7.8/10,7.8/10
Hampton Inn & Suites Charlotte Airport Lake Pointe,9.4 out of 10 Exceptional,730 verified reviews,9.8/10,9.6/10,9.4/10,9.8/10,9.4/10
Best Western Mountainbrook Inn,8.6 out of 10 Excellent,"1,001 verified reviews",8.8/10,9.2/10,8.2/10,8.4/10,8.4/10
Best Western Plus Goldsboro,7.8 out of 10 Good,964 verified reviews,8.2/10,8.4/10,7.2/10,8.0/10,7.8/10
Hilton Garden Inn Charlotte Airport,9.2 out of 10 Wonderful,"1,002 verified reviews",9.6/10,9.4/10,9.2/10,9.4/10,9.2/10
Hampton Inn Lincolnton,9.4 out of 10 Exceptional,415 verified reviews,9.8/10,9.6/10,9.2/10,9.6/10,9.0/10
Sleep Inn & Suites - Coliseum Area,8.2 out of 10 Very good,375 verified reviews,8.8/10,8.4/10,7.6/10,8.4/10,8.4/10
Comfort Inn Raleigh Midtown,8.6 out of 10 Excellent,"1,007 verified reviews",8.6/10,9.0/10,8.2/10,8.2/10,8.4/10
Comfort Suites Outlet Center,8.8 out of 10 Excellent,"1,002 verified reviews",9.0/10,9.0/10,8.6/10,8.6/10,8.4/10
Blue Heron Motel,7.8 out of 10 Good,101 verified reviews,8.4/10,8.2/10,7.4/10,7.6/10,7.4/10
