Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
"Crowne Plaza Cleveland at Playhouse Square, an IHG Hotel",8.6 out of 10 Excellent,"1,080 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.6/10
"Kimpton Schofield Hotel, an IHG Hotel",8.8 out of 10 Excellent,"1,005 verified reviews",9.2/10,9.2/10,8.4/10,8.8/10,8.4/10
The Westin Cleveland Downtown,8.2 out of 10 Very good,"1,007 verified reviews",8.6/10,8.6/10,8.0/10,8.4/10,8.4/10
Tru By Hilton Cleveland Midtown,8.6 out of 10 Excellent,"1,005 verified reviews",8.8/10,9.0/10,8.4/10,8.8/10,8.8/10
Hilton Garden Inn Cleveland Downtown,7.6 out of 10 Good,"1,002 verified reviews",8.0/10,8.4/10,7.2/10,7.6/10,7.6/10
"Hotel Indigo Cleveland Downtown, an IHG Hotel",8.6 out of 10 Excellent,"1,132 verified reviews",8.8/10,8.8/10,8.0/10,8.6/10,8.6/10
Wyndham Cleveland Airport,7.2 out of 10 Good,"1,001 verified reviews",7.8/10,7.6/10,7.0/10,7.2/10,7.4/10
The Tudor Arms Hotel Cleveland - a DoubleTree by Hilton,8.2 out of 10 Very good,"1,008 verified reviews",8.2/10,8.6/10,7.8/10,8.0/10,8.0/10
Hyatt Regency Cleveland At The Arcade,8.6 out of 10 Excellent,"1,004 verified reviews",9.0/10,9.2/10,8.2/10,8.8/10,8.8/10
"Holiday Inn Cleveland Clinic, an IHG Hotel",8.6 out of 10 Excellent,"1,001 verified reviews",8.8/10,8.6/10,8.2/10,8.8/10,8.8/10
Hilton Cleveland Downtown,9.0 out of 10 Wonderful,"1,004 verified reviews",9.4/10,9.2/10,9.0/10,9.4/10,9.2/10
Comfort Inn Downtown,7.8 out of 10 Good,"1,001 verified reviews",8.0/10,8.2/10,7.4/10,7.6/10,7.6/10
Cleveland Marriott Downtown at Key Tower,8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.2/10,8.6/10,9.0/10,8.8/10
DoubleTree by Hilton Hotel Cleveland Downtown - Lakeside,7.4 out of 10 Good,"1,005 verified reviews",7.4/10,8.2/10,7.0/10,7.0/10,7.4/10
"InterContinental Cleveland, an IHG Hotel",8.8 out of 10 Excellent,689 verified reviews,9.4/10,9.0/10,8.6/10,9.2/10,9.2/10
Hampton Inn Cleveland-Downtown,8.6 out of 10 Excellent,"1,193 verified reviews",8.8/10,8.8/10,8.0/10,8.6/10,8.4/10
La Quinta Inn & Suites by Wyndham Cleveland - Airport North,8.0 out of 10 Very good,"1,129 verified reviews",7.8/10,8.6/10,7.6/10,7.8/10,8.0/10
"The Ritz-Carlton, Cleveland",8.8 out of 10 Excellent,240 verified reviews,9.4/10,9.4/10,8.8/10,9.0/10,9.0/10
Extended Stay America Select Suites - Cleveland - Airport,5.4 out of 10,416 verified reviews,6.2/10,5.8/10,4.8/10,6.0/10,5.6/10
Residence Inn By Marriott Cleveland Downtown,8.4 out of 10 Very good,"1,003 verified reviews",8.6/10,8.8/10,8.2/10,8.4/10,8.2/10
Hilton Garden Inn Cleveland Airport,8.6 out of 10 Excellent,"1,002 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.4/10
Residence Inn by Marriott Cleveland University Circle/Medical Center,8.6 out of 10 Excellent,461 verified reviews,8.8/10,8.8/10,8.4/10,9.0/10,8.4/10
Courtyard by Marriott Cleveland University Circle,8.8 out of 10 Excellent,783 verified reviews,9.2/10,9.0/10,8.2/10,9.0/10,8.8/10
Travelodge by Wyndham Cleveland Lakewood,6.6 out of 10 Good,"1,000 verified reviews",6.8/10,7.6/10,5.6/10,6.2/10,5.0/10
Hampton Inn Cleveland Airport - Tiedeman Road,8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,9.0/10,8.8/10,8.8/10,8.8/10
Courtyard by Marriott Cleveland Independence,8.8 out of 10 Excellent,911 verified reviews,9.0/10,9.0/10,8.2/10,9.0/10,8.4/10
Hampton Inn & Suites Cleveland/Independence,8.6 out of 10 Excellent,"1,004 verified reviews",8.6/10,9.0/10,8.4/10,8.6/10,8.8/10
"InterContinental Suites Hotel Cleveland, an IHG Hotel",8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.0/10,8.6/10,9.0/10,8.8/10
Residence Inn by Marriott Cleveland Independence,8.4 out of 10 Very good,733 verified reviews,8.6/10,8.6/10,8.0/10,8.4/10,7.6/10
Home2 Suites by Hilton Cleveland Independence,8.8 out of 10 Excellent,519 verified reviews,9.2/10,9.0/10,9.0/10,9.4/10,8.6/10
Embassy Suites by Hilton Cleveland Rockside,7.0 out of 10 Good,"1,001 verified reviews",7.6/10,7.4/10,7.0/10,7.2/10,7.4/10
Ramada by Wyndham Cleveland Independence,4.6 out of 10,254 verified reviews,4.8/10,5.8/10,4.4/10,4.4/10,5.0/10
La Quinta Inn by Wyndham Cleveland Independence,6.8 out of 10 Good,"1,001 verified reviews",6.8/10,7.8/10,6.2/10,6.6/10,6.8/10
Comfort Inn,8.0 out of 10 Very good,"1,003 verified reviews",8.0/10,8.2/10,7.6/10,7.6/10,7.8/10
DoubleTree by Hilton Cleveland - Independence,6.8 out of 10 Good,"1,001 verified reviews",7.2/10,7.6/10,6.8/10,6.8/10,7.2/10
"The Orbit Hotel, Trademark Collection by Wyndham",9.2 out of 10 Wonderful,757 verified reviews,9.6/10,9.6/10,8.6/10,9.4/10,9.0/10
Ramada by Wyndham Cleveland Airport West,5.8 out of 10,"1,005 verified reviews",6.0/10,6.8/10,6.0/10,5.6/10,5.2/10
Aloft Beachwood,8.2 out of 10 Very good,"1,001 verified reviews",8.6/10,8.6/10,8.0/10,8.6/10,8.4/10
Homewood Suites by Hilton Cleveland-Beachwood,9.2 out of 10 Wonderful,880 verified reviews,9.2/10,9.4/10,9.2/10,9.2/10,9.2/10
Home2 Suites by Hilton Cleveland Beachwood,8.4 out of 10 Very good,481 verified reviews,8.8/10,8.6/10,7.8/10,8.8/10,8.4/10
"Hotel Indigo Cleveland-Beachwood, an IHG Hotel",8.4 out of 10 Very good,"1,000 verified reviews",8.8/10,8.8/10,8.0/10,8.6/10,8.2/10
Clarion Hotel Beachwood - Cleveland,7.4 out of 10 Good,"1,001 verified reviews",7.6/10,8.2/10,7.0/10,7.2/10,7.4/10
Embassy Suites by Hilton Cleveland Beachwood,7.0 out of 10 Good,"1,002 verified reviews",7.2/10,7.8/10,6.8/10,7.0/10,7.2/10
Cleveland Marriott East,8.8 out of 10 Excellent,822 verified reviews,9.0/10,8.8/10,8.8/10,9.0/10,9.0/10
Comfort Inn Cleveland Airport,7.0 out of 10 Good,251 verified reviews,6.8/10,7.6/10,6.4/10,6.6/10,6.8/10
Extended Stay America Suites Cleveland Beachwood Orange Pl N,6.0 out of 10 Good,"1,002 verified reviews",6.2/10,7.0/10,5.6/10,6.2/10,6.0/10
Hampton Inn & Suites Cleveland-Beachwood,9.0 out of 10 Wonderful,"1,000 verified reviews",9.0/10,9.2/10,8.8/10,9.0/10,8.8/10
Hampton Inn & Suites Cleveland-Airport/Middleburg Heights,8.6 out of 10 Excellent,753 verified reviews,9.0/10,8.8/10,8.2/10,8.6/10,8.6/10
Red Roof Inn Cleveland Airport-Middleburg Heights,6.8 out of 10 Good,"1,001 verified reviews",7.0/10,7.6/10,6.0/10,6.6/10,6.6/10
Drury Inn & Suites Cleveland Beachwood,9.4 out of 10 Exceptional,847 verified reviews,9.6/10,9.6/10,9.4/10,9.6/10,9.4/10
AC Hotel by Marriott Cleveland Beachwood,8.4 out of 10 Very good,191 verified reviews,9.2/10,8.8/10,8.6/10,9.2/10,8.4/10
"Crowne Plaza Cleveland Airport, an IHG Hotel",7.8 out of 10 Good,831 verified reviews,8.0/10,8.2/10,7.8/10,7.6/10,7.6/10
MainStay Suites Middleburg Heights Cleveland Airport,8.0 out of 10 Very good,479 verified reviews,8.4/10,8.6/10,7.6/10,8.0/10,7.8/10
Courtyard by Marriott Cleveland Airport South,8.2 out of 10 Very good,"1,000 verified reviews",8.4/10,8.6/10,7.8/10,8.2/10,7.8/10
Hampton Inn North Olmsted Cleveland Airport,9.2 out of 10 Wonderful,743 verified reviews,9.6/10,9.4/10,8.8/10,9.4/10,9.0/10
Hotel RL Cleveland Airport West,6.8 out of 10 Good,"1,002 verified reviews",6.8/10,7.6/10,6.2/10,6.4/10,6.8/10
