Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Homewood Suites by Hilton Pittsburgh Downtown,9.0 out of 10 Wonderful,"1,006 verified reviews",9.0/10,9.2/10,8.8/10,9.0/10,9.0/10
Fairfield Inn & Suites by Marriott Harrisburg International Airport,9.0 out of 10 Wonderful,802 verified reviews,9.4/10,9.2/10,8.6/10,9.4/10,9.0/10
Days Inn by Wyndham Hershey,8.6 out of 10 Excellent,"1,327 verified reviews",8.4/10,9.0/10,8.2/10,8.0/10,8.2/10
Baymont by Wyndham Harrisburg,8.6 out of 10 Excellent,"1,493 verified reviews",8.8/10,9.0/10,8.2/10,8.2/10,8.2/10
Hampton Inn Harrisburg-East (Hershey Area),9.2 out of 10 Wonderful,"1,003 verified reviews",9.4/10,9.4/10,9.2/10,9.2/10,9.2/10
"The Logan Philadelphia, Curio Collection by Hilton",8.2 out of 10 Very good,"1,073 verified reviews",8.4/10,8.6/10,8.2/10,8.4/10,8.4/10
Courtyard by Marriott Harrisburg West/Mechanicsburg,8.8 out of 10 Excellent,495 verified reviews,9.2/10,9.2/10,8.0/10,9.2/10,8.4/10
Best Western Plus Hershey,9.2 out of 10 Wonderful,556 verified reviews,9.2/10,9.4/10,9.0/10,9.4/10,9.2/10
Baymont by Wyndham Erie,8.8 out of 10 Excellent,"1,340 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.6/10
Home2 Suites By Hilton Allentown Bethlehem Airport,9.4 out of 10 Exceptional,184 verified reviews,9.6/10,9.4/10,9.4/10,9.8/10,9.4/10
Microtel Inn & Suites by Wyndham Carlisle,9.8 out of 10 Exceptional,"1,148 verified reviews",9.8/10,9.8/10,9.6/10,9.8/10,9.6/10
Lancaster Arts Hotel,9.2 out of 10 Wonderful,"1,003 verified reviews",9.4/10,9.4/10,8.8/10,9.2/10,9.2/10
Red Lion Hotel Harrisburg Hershey,8.0 out of 10 Very good,"1,000 verified reviews",7.8/10,8.8/10,8.2/10,7.4/10,8.2/10
Comfort Inn PA Turnpike - 1-81,9.2 out of 10 Wonderful,"1,004 verified reviews",9.4/10,9.4/10,8.8/10,9.2/10,8.6/10
Wind Creek Bethlehem,8.8 out of 10 Excellent,"1,002 verified reviews",9.4/10,9.0/10,8.2/10,8.8/10,8.6/10
Hampton Inn Pittsburgh/Greentree,8.6 out of 10 Excellent,"1,001 verified reviews",8.6/10,9.0/10,7.8/10,8.4/10,8.0/10
Tru By Hilton Hershey Chocolate Avenue,9.2 out of 10 Wonderful,"1,006 verified reviews",9.4/10,9.4/10,9.0/10,9.4/10,9.2/10
"Club Quarters Hotel Rittenhouse Square, Philadelphia",8.4 out of 10 Very good,"3,391 verified reviews",8.6/10,8.8/10,7.8/10,8.2/10,8.4/10
DoubleTree Resort by Hilton Lancaster,9.0 out of 10 Wonderful,"1,007 verified reviews",9.2/10,9.2/10,9.0/10,9.2/10,9.0/10
Hampton Inn & Suites North Huntingdon-Irwin,9.4 out of 10 Exceptional,576 verified reviews,9.6/10,9.6/10,9.2/10,9.6/10,9.0/10
La Quinta Inn & Suites by Wyndham New Cumberland-Harrisburg,7.0 out of 10 Good,587 verified reviews,7.0/10,7.6/10,6.6/10,6.8/10,6.8/10
"Penn Harris Hotel Harrisburg, Trademark by Wyndham",7.0 out of 10 Good,"1,000 verified reviews",7.4/10,7.8/10,6.8/10,6.8/10,7.6/10
"Holiday Inn Erie, an IHG Hotel",9.2 out of 10 Wonderful,579 verified reviews,9.4/10,9.2/10,8.8/10,9.4/10,9.0/10
Cork Factory Hotel,9.2 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.2/10,8.6/10,9.2/10,8.8/10
Allenberry Resort,9.2 out of 10 Wonderful,176 verified reviews,9.4/10,9.4/10,8.8/10,9.2/10,9.0/10
Canopy by Hilton Philadelphia Center City,9.2 out of 10 Wonderful,"1,437 verified reviews",9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
Hampton Inn & Suites Chadds Ford,9.0 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.2/10,8.6/10,9.2/10,9.0/10
New Hope Inn & Suites,8.0 out of 10 Very good,"1,000 verified reviews",8.2/10,8.6/10,7.6/10,7.6/10,7.8/10
Wyndham Grand Pittsburgh Downtown,7.6 out of 10 Good,"2,701 verified reviews",7.4/10,8.2/10,7.2/10,7.2/10,7.6/10
Hilton Garden Inn Philadelphia Center City,8.4 out of 10 Very good,"1,005 verified reviews",8.6/10,8.6/10,7.8/10,8.4/10,8.4/10
La Quinta Inn by Wyndham Pittsburgh Airport,8.0 out of 10 Very good,"1,441 verified reviews",8.0/10,8.2/10,7.4/10,7.4/10,7.6/10
Sonesta Select Allentown Bethlehem Airport,8.6 out of 10 Excellent,"1,002 verified reviews",9.0/10,8.8/10,7.8/10,8.8/10,8.6/10
"Eden Resort and Suites, BW Premier Collection",9.2 out of 10 Wonderful,"1,003 verified reviews",9.4/10,9.2/10,9.2/10,9.4/10,9.0/10
Wyndham Garden York,8.0 out of 10 Very good,"1,000 verified reviews",8.4/10,8.4/10,8.2/10,8.0/10,8.4/10
"Holiday Inn Express Allentown North, an IHG Hotel",9.0 out of 10 Wonderful,"1,003 verified reviews",9.2/10,9.2/10,8.8/10,9.2/10,9.0/10
