Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
"C. Baldwin, Curio Collection by Hilton",8.2 out of 10 Very good,574 verified reviews,9.0/10,8.6/10,8.0/10,8.8/10,8.4/10
Hampton Inn & Suites Houston Heights I-10,9.2 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.4/10,9.2/10,9.2/10,9.2/10
Blossom Hotel Houston,9.2 out of 10 Wonderful,"1,947 verified reviews",9.6/10,9.2/10,9.2/10,9.6/10,9.4/10
Homewood Suites by Hilton Houston Memorial,9.4 out of 10 Exceptional,700 verified reviews,9.6/10,9.4/10,9.4/10,9.6/10,9.6/10
Homewood Suites Houston Downtown,9.2 out of 10 Wonderful,730 verified reviews,9.4/10,9.2/10,8.8/10,9.4/10,9.2/10
The Lancaster Hotel,9.8 out of 10 Exceptional,"1,484 verified reviews",10.0/10,9.8/10,9.6/10,9.8/10,9.4/10
Hilton Americas-Houston,9.2 out of 10 Wonderful,"1,073 verified reviews",9.4/10,9.4/10,9.4/10,9.4/10,9.4/10
STOP INN STAY HOSTELS,6.2 out of 10 Good,12 verified reviews,5.8/10,6.4/10,6.6/10,6.6/10,6.8/10
Cambria Hotel Houston Downtown Convention Center,8.8 out of 10 Excellent,"1,284 verified reviews",9.4/10,9.0/10,8.6/10,9.0/10,8.8/10
Hilton Garden Inn Houston/Galleria Area,8.4 out of 10 Very good,"1,001 verified reviews",9.0/10,8.8/10,8.4/10,8.8/10,8.6/10
La Colombe d'Or Hotel,9.2 out of 10 Wonderful,60 verified reviews,9.8/10,9.4/10,9.2/10,9.2/10,9.4/10
Hyatt Regency Houston,9.0 out of 10 Wonderful,"1,489 verified reviews",9.2/10,9.0/10,8.8/10,9.2/10,9.2/10
DoubleTree by Hilton Houston Brookhollow,8.0 out of 10 Very good,"2,487 verified reviews",8.4/10,8.6/10,8.4/10,8.2/10,8.4/10
"Heights House Hotel, Ascend Hotel Collection",8.2 out of 10 Very good,758 verified reviews,8.4/10,8.8/10,7.8/10,8.0/10,8.2/10
"Magnolia Hotel Houston, A Tribute Portfolio Hotel",9.0 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.2/10,8.6/10,9.0/10,8.8/10
"The Sam Houston, Curio Collection by Hilton",8.4 out of 10 Very good,"1,000 verified reviews",9.0/10,8.6/10,7.4/10,8.4/10,7.8/10
