Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Moxy Washington DC Downtown,8.8 out of 10 Excellent,821 verified reviews,9.4/10,9.2/10,8.6/10,9.2/10,9.0/10
Hampton Inn Washington-Downtown-Convention Center,8.8 out of 10 Excellent,"1,340 verified reviews",9.0/10,8.8/10,8.4/10,8.8/10,8.4/10
Washington Plaza Hotel,8.8 out of 10 Excellent,"3,044 verified reviews",9.0/10,9.2/10,8.6/10,8.6/10,8.4/10
"Holiday Inn Washington-Central/White House, an IHG Hotel",8.6 out of 10 Excellent,"1,005 verified reviews",8.8/10,8.8/10,8.2/10,8.4/10,8.0/10
Club Quarters Hotel in Washington DC,8.6 out of 10 Excellent,"1,005 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.6/10
"The Westin Washington, D.C. City Center",8.4 out of 10 Very good,"1,202 verified reviews",8.8/10,8.8/10,8.2/10,8.6/10,8.4/10
Comfort Inn Downtown DC/Convention Center,8.0 out of 10 Very good,"1,004 verified reviews",8.0/10,8.4/10,7.4/10,7.6/10,7.6/10
"West End Washington DC, Tapestry Collection by Hilton",8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.0/10,8.6/10,8.2/10
Tabard Inn,8.8 out of 10 Excellent,"1,002 verified reviews",8.8/10,9.2/10,8.0/10,8.4/10,8.4/10
Motto by Hilton Washington DC City Center,9.0 out of 10 Wonderful,"1,471 verified reviews",9.4/10,9.4/10,8.4/10,9.2/10,9.0/10
Hilton Garden Inn Washington DC/Georgetown Area,8.4 out of 10 Very good,"1,002 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.2/10
Hilton Garden Inn Washington DC Downtown,8.6 out of 10 Excellent,"1,497 verified reviews",9.0/10,8.8/10,8.2/10,8.6/10,8.6/10
Capital Hilton,8.2 out of 10 Very good,"1,001 verified reviews",8.6/10,8.4/10,7.8/10,8.2/10,8.2/10
Embassy Suites by Hilton Washington D.C. – Convention Center,8.8 out of 10 Excellent,"1,785 verified reviews",9.0/10,9.2/10,8.6/10,8.6/10,8.4/10
The Madison Hotel,8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,9.2/10,8.4/10,9.0/10,8.8/10
Beacon Hotel & Corporate Quarters,7.6 out of 10 Good,"1,020 verified reviews",8.2/10,8.0/10,6.8/10,7.6/10,7.4/10
"Courtyard by Marriott Washington, DC Dupont Circle",8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,8.8/10,8.2/10,8.2/10,8.6/10
Hamilton Hotel Washington DC,8.6 out of 10 Excellent,"1,429 verified reviews",9.0/10,8.8/10,8.2/10,8.6/10,8.4/10
"Yours Truly DC, Vignette Collection an IHG Hotel",8.8 out of 10 Excellent,"1,002 verified reviews",9.2/10,9.0/10,8.6/10,9.0/10,8.8/10
"Conrad Washington, DC",9.6 out of 10 Exceptional,591 verified reviews,9.6/10,9.6/10,9.4/10,9.6/10,9.4/10
Waldorf Astoria Washington DC,9.8 out of 10 Exceptional,"1,000 verified reviews",10.0/10,9.8/10,9.8/10,10.0/10,9.4/10
The Eldon Luxury Suites,8.4 out of 10 Very good,"2,032 verified reviews",9.0/10,8.4/10,8.0/10,8.4/10,8.0/10
"Homewood Suites by Hilton Washington, D.C. Downtown",8.4 out of 10 Very good,"1,000 verified reviews",8.8/10,8.8/10,8.0/10,8.4/10,8.0/10
"Willard InterContinental Washington, an IHG Hotel",9.6 out of 10 Exceptional,"1,000 verified reviews",9.6/10,9.6/10,9.2/10,9.6/10,9.2/10
"Hampton Inn Washington, D.C./White House",9.0 out of 10 Wonderful,"1,002 verified reviews",9.2/10,9.4/10,8.6/10,9.0/10,8.8/10
The St. Gregory Hotel,8.6 out of 10 Excellent,"1,007 verified reviews",9.0/10,8.8/10,8.2/10,8.8/10,8.6/10
"Kimpton Banneker Hotel, an IHG Hotel",8.6 out of 10 Excellent,121 verified reviews,9.0/10,9.0/10,8.0/10,8.6/10,8.4/10
Canopy by Hilton Washington Embassy Row,9.2 out of 10 Wonderful,368 verified reviews,9.4/10,9.4/10,8.8/10,9.4/10,9.2/10
The Henley Park Hotel,8.8 out of 10 Excellent,"1,002 verified reviews",9.2/10,9.2/10,8.0/10,8.8/10,8.4/10
Courtyard by Marriott Washington Downtown/Convention Center,8.8 out of 10 Excellent,"1,407 verified reviews",9.4/10,9.0/10,8.4/10,9.2/10,8.8/10
Hyatt Place Washington DC/Georgetown/West End,8.4 out of 10 Very good,"1,003 verified reviews",8.8/10,8.4/10,8.2/10,8.8/10,8.4/10
AC Hotel by Marriott Washington DC Downtown,9.2 out of 10 Wonderful,652 verified reviews,9.6/10,9.2/10,9.0/10,9.6/10,9.0/10
AKA White House,9.2 out of 10 Wonderful,653 verified reviews,9.2/10,9.0/10,8.6/10,9.0/10,8.8/10
"Cambria Hotel Washington, D.C. Convention Center",8.0 out of 10 Very good,"1,002 verified reviews",8.2/10,8.4/10,7.6/10,8.0/10,8.0/10
"Kimpton Hotel Monaco Washington DC, an IHG Hotel",8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,8.8/10,8.2/10,8.6/10,8.6/10
Hilton Club The District Washington D.C.,9.4 out of 10 Exceptional,371 verified reviews,9.6/10,9.4/10,9.2/10,9.4/10,8.8/10
Homewood Suites by Hilton Washington DC Convention Center,8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.8/10,8.2/10,8.6/10,8.4/10
"The St. Regis Washington, D.C.",9.0 out of 10 Wonderful,642 verified reviews,9.4/10,9.2/10,8.4/10,9.0/10,8.6/10
"The Ritz-Carlton, Washington, D.C.",9.4 out of 10 Exceptional,744 verified reviews,9.6/10,9.6/10,9.2/10,9.4/10,9.2/10
JW Marriott Washington DC,9.0 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.2/10,8.6/10,9.2/10,9.0/10
"Marriott Marquis Washington, DC",9.0 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.2/10,8.8/10,9.4/10,8.8/10
"The Mayflower Hotel, Autograph Collection",8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.4/10,9.0/10,8.8/10
Washington Marriott Georgetown,8.4 out of 10 Very good,"1,000 verified reviews",9.0/10,8.8/10,8.4/10,8.4/10,8.8/10
