Original Hotel Name,Hotel Name,Geometry,restaurant,shopping_mall,tourist_attraction,cafe,bar,supermarket,park,point_of_interest,lodging,museum
Hotel San Carlos - Adults Only,Hotel San Carlos,"{'lat': 33.4505562, 'lng': -112.074072}",1,0,1,0,2,0,0,18,14,1
Found Re Phoenix,FOUND:RE Phoenix Hotel,"{'lat': 33.460344, 'lng': -112.0744177}",1,0,1,0,1,0,0,18,14,1
Crowne Plaza Phoenix Airport - PHX,"Crowne Plaza Phoenix Airport - Phx, an IHG Hotel","{'lat': 33.4488581, 'lng': -111.9885212}",0,0,0,0,0,0,0,18,17,0
Super 8 by Wyndham Phoenix West,Super 8 by Wyndham Phoenix West,"{'lat': 33.4960685, 'lng': -112.1155596}",1,0,0,0,1,0,0,18,8,0
PREMIER INNS TOLLESON,Premier Inns Tolleson,"{'lat': 33.4640144, 'lng': -112.2400588}",2,1,0,0,0,0,0,18,2,0
Arizona Grand Resort & Spa,Arizona Grand Resort & Spa,"{'lat': 33.3738051, 'lng': -111.9701886}",1,1,0,0,0,0,0,18,14,0
DoubleTree Suites by Hilton Phoenix,DoubleTree Suites by Hilton Hotel Phoenix,"{'lat': 33.4519004, 'lng': -111.9889855}",0,0,0,0,0,0,0,18,17,0
La Quinta Inn by Wyndham Phoenix Sky Harbor Airport,La Quinta Inn by Wyndham Phoenix Sky Harbor Airport,"{'lat': 33.4203148, 'lng': -111.9766087}",0,0,0,0,0,0,0,18,18,0
La Quinta Inn & Suites by Wyndham Phoenix Scottsdale,La Quinta by Wyndham Ellerslie Auckland,"{'lat': -36.90231050000001, 'lng': 174.8094373}",4,0,0,0,1,0,0,18,16,0
Econo Lodge Phoenix North I-17,Econo Lodge Phoenix North I-17,"{'lat': 33.6033021, 'lng': -112.1182095}",1,0,0,1,0,0,0,18,10,0
Extended Stay America Select Suites - Phoenix - Peoria - Sun City,Extended Stay America Select Suites - Phoenix - Peoria - Sun City,"{'lat': 33.6023084, 'lng': -112.2518117}",3,0,0,0,1,0,0,18,7,0
Aiden by Best Western Scottsdale North,Aiden By Best Western Scottsdale North,"{'lat': 33.58448, 'lng': -111.8875516}",1,0,1,1,0,0,1,18,10,0
EZ8 Motel Airporter,E-Z 8 Motel Phoenix,"{'lat': 33.4300226, 'lng': -112.0667034}",2,0,1,0,2,0,0,18,11,1
La Quinta Inn by Wyndham Phoenix Thomas Road,La Quinta Inn by Wyndham Phoenix Thomas Road,"{'lat': 33.4795232, 'lng': -112.1119102}",0,0,1,0,0,0,0,18,14,1
SureStay Hotel by Best Western Phoenix Airport,Surestay Hotel By Best Western Phoenix Airport,"{'lat': 33.4510704, 'lng': -112.0154263}",0,0,0,0,0,0,0,18,17,0
Holiday Inn Phoenix Airport,"Holiday Inn & Suites Phoenix Airport, an IHG Hotel","{'lat': 33.4184035, 'lng': -111.9795223}",0,0,0,0,0,0,0,18,18,0
Red Roof Inn Phoenix North – Deer Valley/Bell Rd,Red Roof Inn Phoenix North – I-17 at Bell Rd,"{'lat': 33.6430368, 'lng': -112.1162944}",0,0,0,0,0,0,0,18,7,0
Extended Stay America Select Suites - Phoenix - West,Extended Stay America Select Suites - Phoenix - West,"{'lat': 33.4634397, 'lng': -112.1535036}",0,0,0,0,1,0,0,18,10,0
"Studio 6-Tempe, AZ","Studio 6 Tempe, AZ","{'lat': 33.3816254, 'lng': -111.969054}",1,0,0,0,0,0,0,18,17,0
Baymont By Wyndham Phoenix I-10 Near 51St Ave,Baymont by Wyndham Phoenix I-10 near 51st Ave,"{'lat': 33.4620233, 'lng': -112.173258}",1,0,0,0,0,0,0,18,8,0
Days Inn by Wyndham Phoenix North,Days Inn by Wyndham Phoenix North,"{'lat': 33.6829871, 'lng': -112.1160553}",1,0,0,0,0,0,0,18,10,0
DoubleTree Resort by Hilton Hotel Paradise Valley - Scottsdale,DoubleTree Resort by Hilton Hotel Paradise Valley - Scottsdale,"{'lat': 33.5148704, 'lng': -111.9246755}",1,0,0,0,1,0,0,18,18,0
3 Palms Hotel,3 Palms,"{'lat': 33.4651385, 'lng': -111.914381}",0,0,3,0,0,0,1,18,15,1
Extend -a -Suites Mesa,Extended Stay,"{'lat': 33.4150628, 'lng': -111.7954021}",4,0,1,0,0,1,0,18,2,1
Wyndham Phoenix Airport/Tempe,Wyndham Phoenix Airport/Tempe,"{'lat': 33.410755, 'lng': -111.9701678}",1,0,0,0,0,0,0,18,18,0
Cambria Hotel Phoenix - North Scottsdale,Cambria Hotel Phoenix - North Scottsdale,"{'lat': 33.6739222, 'lng': -111.9827761}",4,0,1,1,3,0,0,18,4,1
Red Roof Inn Phoenix - Midtown,Red Roof Inn Phoenix - Midtown,"{'lat': 33.4959799, 'lng': -112.1137611}",1,0,0,0,1,0,0,18,8,0
Quality Inn & Suites Phoenix NW - Sun City,"Holiday Inn Singapore Atrium, an IHG Hotel","{'lat': 1.2890076, 'lng': 103.8342013}",1,0,0,0,1,0,0,18,18,0
Comfort Suites Scottsdale Talking Stick Entertainment District,Comfort Suites Scottsdale @ Talking Stick,"{'lat': 33.5405598, 'lng': -111.8819677}",3,0,3,0,0,0,2,18,11,1
Quality Inn Chandler I-10,Quality Inn Chandler I-10,"{'lat': 33.3063699, 'lng': -111.9450171}",3,0,0,0,1,0,0,18,8,0
La Quinta Inn & Suites by Wyndham Phoenix Mesa West,La Quinta by Wyndham Ellerslie Auckland,"{'lat': -36.90231050000001, 'lng': 174.8094373}",4,0,0,0,1,0,0,18,16,0
SureStay Plus Hotel by Best Western Tempe University,SureStay Plus Hotel by Best Western Tempe University,"{'lat': 33.445306, 'lng': -111.9261332}",1,0,3,0,1,0,1,18,10,1
Wild Horse Pass Hotel & Casino,Gila River Resorts & Casinos - Wild Horse Pass,"{'lat': 33.2815933, 'lng': -111.972969}",2,0,0,0,1,0,0,18,8,0
Hyatt Regency Phoenix,Hyatt Regency Phoenix,"{'lat': 33.4497405, 'lng': -112.0716698}",1,0,1,0,2,0,0,18,13,1
Extended Stay America Suites - Phoenix - Airport,Extended Stay America - Phoenix - Airport,"{'lat': 33.4135043, 'lng': -112.0080133}",0,0,0,0,0,0,0,18,17,0
Sonesta Select Tempe Downtown,Sonesta Select Tempe Downtown,"{'lat': 33.4249647, 'lng': -111.9427662}",0,0,0,0,0,0,0,18,17,0
Extended Stay America Suites - Phoenix - Biltmore,Extended Stay America - Phoenix - Biltmore,"{'lat': 33.5133852, 'lng': -112.0470723}",3,0,0,0,0,0,0,18,11,0
La Quinta Inn & Suites by Wyndham Mesa Superstition Springs,La Quinta by Wyndham Ellerslie Auckland,"{'lat': -36.90231050000001, 'lng': 174.8094373}",4,0,0,0,1,0,0,18,16,0
Drury Inn & Suites Phoenix Chandler Fashion Center,Drury Inn & Suites Denver Central Park,"{'lat': 39.7788714, 'lng': -104.8815593}",3,1,0,0,0,0,0,18,8,0
Sonesta Select Tempe Downtown,Sonesta Select Tempe Downtown,"{'lat': 33.4249647, 'lng': -111.9427662}",0,0,0,0,0,0,0,18,17,0
Drury Inn & Suites Phoenix Chandler Fashion Center,Drury Inn & Suites Denver Central Park,"{'lat': 39.7788714, 'lng': -104.8815593}",3,1,0,0,0,0,0,18,8,0
Super 8 By Wyndham Goodyear/Phoenix Area,Super 8 by Wyndham Goodyear/Phoenix Area,"{'lat': 33.4553367, 'lng': -112.3425017}",0,0,0,0,0,0,0,18,8,0
Embassy Suites by Hilton Phoenix Scottsdale,Embassy Suites by Hilton Phoenix Scottsdale,"{'lat': 33.5956174, 'lng': -111.9858098}",1,1,0,0,0,0,0,18,2,0
HomeTowne Studios Phoenix - Dunlap Ave,HomeTowne Studios Phoenix - Dunlap Ave,"{'lat': 33.5684248, 'lng': -112.1043956}",3,0,0,1,2,1,0,18,8,0
Travelers Inn - Phoenix,Travelers Inn Phoenix,"{'lat': 33.4612427, 'lng': -112.1702871}",1,0,0,0,0,0,0,18,8,0
Extended Stay America Suites - Phoenix - Scottsdale - Old Town,Extended Stay America - Phoenix - Scottsdale - Old Town,"{'lat': 33.4888921, 'lng': -111.928914}",1,0,1,0,1,0,1,18,17,1
The Scott Resort & Spa,The Scott Resort & Spa,"{'lat': 33.5085709, 'lng': -111.9256971}",1,0,0,0,1,0,0,18,18,0
Super 8 By Wyndham Chandler Phoenix,Super 8 by Wyndham Chandler Phoenix,"{'lat': 33.3048658, 'lng': -111.9665656}",3,0,0,0,1,0,0,18,8,0
Embassy Suites by Hilton Phoenix Tempe,Embassy Suites by Hilton Phoenix Tempe,"{'lat': 33.384352, 'lng': -111.927614}",1,0,0,0,0,0,0,18,13,0
Rodeway Inn Phoenix North I-17,Rodeway Inn Phoenix North I-17,"{'lat': 33.6029346, 'lng': -112.1185313}",1,0,0,1,0,0,0,18,10,0
